epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9757,3.60152,15.6872,3.02454,0,0,0,0,0,47.6256,0,1e-05,1e-05,1e-05
2,55.5517,3.3306,13.2573,2.39105,0,0,0,0,0,59.427,0,2.9703e-05,2.9703e-05,2.9703e-05
3,93.8667,3.87136,9.24131,2.82198,0,0,0,0,0,81.4211,0,4.901e-05,4.901e-05,4.901e-05
4,124.757,3.33728,8.52004,2.40146,0,0,0,0,0,153.691,0,6.7921e-05,6.7921e-05,6.7921e-05
5,159.697,3.0507,10.5002,2.01206,0,0,0,0,0,360.977,0,8.6436e-05,8.6436e-05,8.6436e-05
6,200.081,3.10689,5.79451,2.04621,0,0,0,0,0,360.977,0,0.000104555,0.000104555,0.000104555
7,235.136,2.55935,5.31732,1.79834,0,0,0,0,0,736.329,0,0.000122278,0.000122278,0.000122278
8,265.48,2.44781,5.11549,1.64658,0,0,0,0,0,1094.23,0,0.000139605,0.000139605,0.000139605
9,296.899,2.22644,4.60653,1.60161,0,0,0,0,0,1094.23,0,0.000156536,0.000156536,0.000156536
10,323.22,2.68103,8.40809,2.10323,0,0,0,0,0,700.719,0,0.000173071,0.000173071,0.000173071
11,344.297,2.2187,4.38746,1.72637,0,0,0,0,0,700.719,0,0.00018921,0.00018921,0.00018921
